"","Weeks","CovSamDeaths_Strict","TotSamDeaths","CovSamDeaths"
"1","W24-W25",2,53,2
"2","W26-W27",4,30,5
"3","W28-W29",14,38,16
"4","W30-W31",13,40,14
"5","W32-W33",11,53,14
"6","W34-W35",8,48,8
"7","W36-W37",2,59,6
"8","W38-W39",4,42,5
