"age_group","age","low","mid","high"
1,"0-4",0.31,0.4,0.48
2,"5-9",0.31,0.4,0.48
3,"10-14",0.19,0.25,0.32
4,"15-19",0.19,0.25,0.32
5,"20-24",0.28,0.37,0.46
6,"25-29",0.28,0.37,0.46
7,"30-34",0.33,0.42,0.51
8,"35-39",0.33,0.42,0.51
9,"40-44",0.41,0.51,0.6
10,"45-49",0.41,0.51,0.6
11,"50-54",0.48,0.59,0.67
12,"55-59",0.48,0.59,0.67
13,"60-64",0.63,0.72,0.79
14,"65-69",0.63,0.72,0.79
15,"70-74",0.68,0.76,0.82
16,"75-79",0.68,0.76,0.82
17,"80+",0.68,0.76,0.82
